zip,province,building_type,bedroom,construction_Year,price,heating_type,land_surface
2460,Antwerp,HOUSE,2,1990,385000,FUELOIL,802
2060,Antwerp,HOUSE,4,1930,219000,GAS,79
2290,Antwerp,HOUSE,3,1963,274000,FUELOIL,697
2300,Antwerp,HOUSE,3,1971,249000,GAS,193
2570,Antwerp,HOUSE,5,1997,1095000,FUELOIL,1650
2880,Antwerp,HOUSE,5,1958,369000,GAS,256
2060,Antwerp,HOUSE,3,1935,480000,GAS,79
2140,Antwerp,HOUSE,3,1938,359000,GAS,105
2070,Antwerp,HOUSE,2,1918,175000,GAS,82
2800,Antwerp,HOUSE,6,2022,1400000,GAS,140
2970,Antwerp,HOUSE,5,1996,2295000,GAS,3900
2570,Antwerp,HOUSE,5,2001,589000,GAS,665
2370,Antwerp,HOUSE,4,2000,949000,GAS,8255
2500,Antwerp,HOUSE,4,1964,415000,FUELOIL,398
2260,Antwerp,HOUSE,2,1937,165000,CARBON,257
2910,Antwerp,HOUSE,3,1938,325000,GAS,474
2660,Antwerp,HOUSE,3,1969,379000,GAS,199
2390,Antwerp,HOUSE,3,1996,529000,GAS,1138
2630,Antwerp,HOUSE,2,1951,349500,GAS,102
2430,Antwerp,HOUSE,7,2008,689000,GAS,753
2200,Antwerp,HOUSE,3,1935,299000,GAS,183
2520,Antwerp,HOUSE,5,2007,750000,ELECTRIC,750
2260,Antwerp,HOUSE,4,1961,267000,GAS,880
2160,Antwerp,HOUSE,2,1939,275000,GAS,175
2400,Antwerp,HOUSE,3,2019,379000,GAS,716
2620,Antwerp,HOUSE,3,2005,459900,GAS,300
2980,Antwerp,HOUSE,3,1996,599000,FUELOIL,694
2580,Antwerp,HOUSE,3,1957,350000,GAS,273
2220,Antwerp,HOUSE,4,2019,777000,GAS,1218
2430,Antwerp,HOUSE,3,2006,529000,GAS,1635
2530,Antwerp,HOUSE,4,1918,420000,GAS,140
2300,Antwerp,HOUSE,3,2022,457800,GAS,316
2480,Antwerp,HOUSE,3,1994,398000,GAS,534
2220,Antwerp,HOUSE,3,1962,375000,FUELOIL,1085
2880,Antwerp,HOUSE,4,1978,249000,GAS,245
2570,Antwerp,HOUSE,3,1971,305000,GAS,233
2140,Antwerp,HOUSE,5,1928,425000,GAS,136
2230,Antwerp,HOUSE,2,1961,269000,FUELOIL,811
2060,Antwerp,HOUSE,3,1900,435000,GAS,65
2430,Antwerp,HOUSE,3,1973,365000,GAS,1089
2220,Antwerp,HOUSE,2,1927,429000,FUELOIL,2470
2100,Antwerp,HOUSE,3,1937,225000,GAS,130
2890,Antwerp,HOUSE,3,2023,453900,GAS,463
2500,Antwerp,HOUSE,5,1968,349000,FUELOIL,293
2300,Antwerp,HOUSE,11,1986,889000,GAS,261
2290,Antwerp,HOUSE,3,1961,330000,FUELOIL,645
2040,Antwerp,HOUSE,3,1920,169000,GAS,385
2840,Antwerp,HOUSE,5,1920,395000,GAS,365
2290,Antwerp,HOUSE,3,2012,549000,GAS,697
2140,Antwerp,HOUSE,2,1961,349500,GAS,156
2500,Antwerp,HOUSE,3,1970,395000,GAS,912
2660,Antwerp,HOUSE,4,1958,278000,GAS,214
2000,Antwerp,HOUSE,4,1907,1600000,GAS,74
2221,Antwerp,HOUSE,3,1996,429000,FUELOIL,831
2020,Antwerp,HOUSE,5,1959,3150000,GAS,1508
2220,Antwerp,HOUSE,4,2007,785000,GAS,1776
2320,Antwerp,HOUSE,5,2000,1275000,GAS,2223
2940,Antwerp,HOUSE,5,1980,549000,GAS,227
2870,Antwerp,HOUSE,3,1950,279000,GAS,373
2547,Antwerp,HOUSE,3,1971,275000,GAS,172
2900,Antwerp,HOUSE,2,2019,298000,GAS,48
2400,Antwerp,HOUSE,4,1981,249000,FUELOIL,298
2930,Antwerp,HOUSE,3,1958,710000,GAS,654
2500,Antwerp,HOUSE,5,1954,499000,GAS,671
2330,Antwerp,HOUSE,5,2000,1295000,GAS,3497
2830,Antwerp,HOUSE,2,1918,790000,GAS,127
2930,Antwerp,HOUSE,5,1992,875000,GAS,3612
2990,Antwerp,HOUSE,3,1982,615000,GAS,311
2640,Antwerp,HOUSE,4,1975,445000,GAS,324
2200,Antwerp,HOUSE,2,1951,298000,GAS,720
2180,Antwerp,HOUSE,3,1962,325000,FUELOIL,323
2223,Antwerp,HOUSE,3,1994,349000,FUELOIL,553
2550,Antwerp,HOUSE,3,1968,419000,GAS,270
2220,Antwerp,HOUSE,4,1979,525000,FUELOIL,3500
2275,Antwerp,HOUSE,3,1976,399000,GAS,846
2650,Antwerp,HOUSE,3,1935,259000,GAS,91
2800,Antwerp,HOUSE,3,1899,325000,GAS,100
2275,Antwerp,HOUSE,3,2007,699000,GAS,1724
2370,Antwerp,HOUSE,5,2012,380000,GAS,824
2450,Antwerp,HOUSE,3,2022,322000,GAS,296
2300,Antwerp,HOUSE,2,1925,199000,GAS,138
2070,Antwerp,HOUSE,4,1975,449000,GAS,550
2870,Antwerp,HOUSE,2,1918,315000,GAS,214
2240,Antwerp,HOUSE,3,1973,425000,GAS,974
2940,Antwerp,HOUSE,3,1977,429000,GAS,720
2340,Antwerp,HOUSE,3,2014,398000,GAS,316
2960,Antwerp,HOUSE,3,1969,398000,GAS,1715
2627,Antwerp,HOUSE,2,1918,229000,GAS,100
2930,Antwerp,HOUSE,5,1998,5495000,GAS,37166
2850,Antwerp,HOUSE,2,1939,245000,GAS,175
2250,Antwerp,HOUSE,3,1963,415000,GAS,1050
2660,Antwerp,HOUSE,5,1966,349000,GAS,199
2060,Antwerp,HOUSE,3,1933,215000,GAS,58
2500,Antwerp,HOUSE,3,1850,349000,GAS,144
2150,Antwerp,HOUSE,7,1973,660000,GAS,320
2440,Antwerp,HOUSE,3,1953,249000,GAS,185
2480,Antwerp,HOUSE,3,2021,255750,GAS,242
2450,Antwerp,HOUSE,3,2022,298000,GAS,185
2860,Antwerp,HOUSE,2,1954,319000,ELECTRIC,564
2240,Antwerp,HOUSE,3,1958,850000,GAS,727
2170,Antwerp,HOUSE,3,1920,335000,GAS,115
2950,Antwerp,HOUSE,4,1972,935000,FUELOIL,6723
2460,Antwerp,HOUSE,4,2018,895000,GAS,1500
2840,Antwerp,HOUSE,2,1961,475000,GAS,850
2430,Antwerp,HOUSE,2,1985,325000,GAS,632
2570,Antwerp,HOUSE,3,1931,249000,GAS,184
2860,Antwerp,HOUSE,3,2015,540000,GAS,360
2830,Antwerp,HOUSE,3,2022,428300,GAS,300
2930,Antwerp,HOUSE,3,2010,695000,GAS,550
2930,Antwerp,HOUSE,2,1932,325000,GAS,215
2830,Antwerp,HOUSE,2,1931,575000,GAS,14961
2520,Antwerp,HOUSE,3,1956,425000,ELECTRIC,824
2480,Antwerp,HOUSE,3,1961,249000,FUELOIL,679
2800,Antwerp,HOUSE,2,1934,309000,GAS,148
2800,Antwerp,HOUSE,3,1890,228000,GAS,90
2861,Antwerp,HOUSE,5,1985,1250000,FUELOIL,2971
2460,Antwerp,HOUSE,4,2007,539000,GAS,537
2880,Antwerp,HOUSE,2,1966,325000,GAS,159
2480,Antwerp,HOUSE,3,2021,264400,GAS,270
2610,Antwerp,HOUSE,3,1936,379000,GAS,175
2580,Antwerp,HOUSE,3,1935,349000,FUELOIL,770
2900,Antwerp,HOUSE,2,1931,198000,GAS,65
2980,Antwerp,HOUSE,4,1994,699000,GAS,1268
2650,Antwerp,HOUSE,7,1995,1290000,FUELOIL,1260
2900,Antwerp,HOUSE,3,1968,385000,GAS,299
2322,Antwerp,HOUSE,4,1973,369000,FUELOIL,680
2460,Antwerp,HOUSE,3,1993,330000,GAS,660
2970,Antwerp,HOUSE,17,1989,1450000,GAS,1348
2100,Antwerp,HOUSE,3,1988,795000,GAS,801
2350,Antwerp,HOUSE,5,2001,1190000,GAS,1421
2300,Antwerp,HOUSE,2,1976,295000,GAS,795
2360,Antwerp,HOUSE,4,2011,475000,GAS,881
2235,Antwerp,HOUSE,2,1978,390000,FUELOIL,454
2610,Antwerp,HOUSE,4,1930,625000,GAS,371
2627,Antwerp,HOUSE,4,2021,586777,GAS,550
2340,Antwerp,HOUSE,3,1979,395000,GAS,1200
2100,Antwerp,HOUSE,3,1950,230000,GAS,133
2170,Antwerp,HOUSE,3,1978,335000,GAS,180
2640,Antwerp,HOUSE,2,1958,335000,GAS,156
2110,Antwerp,HOUSE,4,1935,349000,GAS,113
2440,Antwerp,HOUSE,4,1976,465000,FUELOIL,1525
2360,Antwerp,HOUSE,3,1977,390000,FUELOIL,834
2480,Antwerp,HOUSE,3,2021,274600,GAS,296
2440,Antwerp,HOUSE,3,1976,324000,GAS,735
2300,Antwerp,HOUSE,3,1958,269000,GAS,89
2610,Antwerp,HOUSE,3,1995,995000,GAS,662
2600,Antwerp,HOUSE,3,1962,550000,GAS,190
2050,Antwerp,HOUSE,4,1954,495000,FUELOIL,210
2800,Antwerp,HOUSE,3,1950,450000,ELECTRIC,281
2830,Antwerp,HOUSE,2,1918,139000,GAS,151
2220,Antwerp,HOUSE,2,1961,419000,GAS,235
2310,Antwerp,HOUSE,4,1988,374000,GAS,639
2180,Antwerp,HOUSE,3,1960,315000,GAS,535
2650,Antwerp,HOUSE,4,1970,1650000,GAS,703
2480,Antwerp,HOUSE,3,2021,271500,GAS,285
2290,Antwerp,HOUSE,3,1930,639000,GAS,350
2018,Antwerp,HOUSE,5,1969,625000,GAS,79
2870,Antwerp,HOUSE,4,1955,259000,GAS,416
2620,Antwerp,HOUSE,6,1899,249000,GAS,80
2920,Antwerp,HOUSE,3,1970,365000,GAS,770
2360,Antwerp,HOUSE,5,2009,1495000,GAS,2042
2880,Antwerp,HOUSE,3,2022,435500,GAS,640
2920,Antwerp,HOUSE,6,2007,895000,GAS,1590
2630,Antwerp,HOUSE,2,1932,275000,GAS,248
2100,Antwerp,HOUSE,8,2021,1245000,GAS,20000
2220,Antwerp,HOUSE,3,1957,375000,FUELOIL,603
2270,Antwerp,HOUSE,4,1982,398000,GAS,651
2850,Antwerp,HOUSE,2,1972,340000,GAS,189
2070,Antwerp,HOUSE,3,1918,249000,GAS,125
2920,Antwerp,HOUSE,4,2004,1275000,GAS,9847
2110,Antwerp,HOUSE,4,1963,539000,GAS,1153
2880,Antwerp,HOUSE,3,2022,430500,GAS,540
2060,Antwerp,HOUSE,5,1950,499000,GAS,170
2930,Antwerp,HOUSE,4,1992,395000,GAS,355
2170,Antwerp,HOUSE,2,1947,315000,GAS,65
2430,Antwerp,HOUSE,4,1959,395000,GAS,500
2950,Antwerp,HOUSE,4,1951,555000,GAS,2013
2280,Antwerp,HOUSE,4,2003,649000,GAS,1075
2930,Antwerp,HOUSE,3,1987,349000,GAS,264
2570,Antwerp,HOUSE,3,1960,349000,GAS,88
2450,Antwerp,HOUSE,3,2022,315000,GAS,269
2845,Antwerp,HOUSE,6,1931,285000,GAS,215
2930,Antwerp,HOUSE,3,1965,625000,FUELOIL,1000
2270,Antwerp,HOUSE,3,2014,649000,GAS,880
2860,Antwerp,HOUSE,2,1961,589000,GAS,1195
2500,Antwerp,HOUSE,2,1959,380000,GAS,230
2180,Antwerp,HOUSE,2,1941,525000,GAS,658
2930,Antwerp,HOUSE,6,1989,1045000,GAS,7591
2100,Antwerp,HOUSE,6,1974,649900,GAS,130
2590,Antwerp,HOUSE,3,1981,299000,GAS,531
2020,Antwerp,HOUSE,5,1935,299000,GAS,225
2830,Antwerp,HOUSE,3,1969,297000,GAS,229
2830,Antwerp,HOUSE,3,1931,339000,GAS,255
2360,Antwerp,HOUSE,4,1977,1100000,GAS,3495
2880,Antwerp,HOUSE,3,1957,199000,GAS,196
2800,Antwerp,HOUSE,6,1955,799000,GAS,490
2880,Antwerp,HOUSE,3,2022,490500,GAS,1207
2800,Antwerp,HOUSE,3,1949,228000,GAS,153
2382,Antwerp,HOUSE,5,2006,875000,GAS,1750
2950,Antwerp,HOUSE,3,1930,285000,WOOD,540
2275,Antwerp,HOUSE,5,2007,650000,GAS,686
2440,Antwerp,HOUSE,4,1950,325000,FUELOIL,1757
2300,Antwerp,HOUSE,4,1993,575000,GAS,761
2450,Antwerp,HOUSE,3,2022,315000,GAS,264
2000,Antwerp,HOUSE,5,1889,649000,GAS,153
2930,Antwerp,HOUSE,3,1955,325000,GAS,280
2321,Antwerp,HOUSE,3,1998,1200000,FUELOIL,2360
2450,Antwerp,HOUSE,3,1997,875000,GAS,1336
2600,Antwerp,HOUSE,4,1902,415000,GAS,67
2400,Antwerp,HOUSE,4,1953,248000,FUELOIL,156
2950,Antwerp,HOUSE,6,1972,1290000,FUELOIL,7700
2450,Antwerp,HOUSE,3,2022,298000,GAS,191
2400,Antwerp,HOUSE,5,1970,875000,FUELOIL,1322
2320,Antwerp,HOUSE,4,2008,549000,FUELOIL,711
2100,Antwerp,HOUSE,3,1946,349900,GAS,170
2450,Antwerp,HOUSE,3,2022,318000,GAS,289
2381,Antwerp,HOUSE,7,1992,589000,GAS,805
2560,Antwerp,HOUSE,3,1980,310000,GAS,602
2570,Antwerp,HOUSE,3,2018,415000,GAS,378
2450,Antwerp,HOUSE,7,1934,310000,FUELOIL,865
2930,Antwerp,HOUSE,2,1982,319000,GAS,175
2160,Antwerp,HOUSE,3,1991,499000,GAS,577
2890,Antwerp,HOUSE,4,1972,450000,FUELOIL,1266
2560,Antwerp,HOUSE,4,2020,585000,GAS,276
2020,Antwerp,HOUSE,4,1975,895000,GAS,855
2440,Antwerp,HOUSE,4,1980,495000,FUELOIL,1795
2830,Antwerp,HOUSE,3,2005,498000,GAS,401
2560,Antwerp,HOUSE,4,2009,549000,GAS,450
2900,Antwerp,HOUSE,4,1994,474000,GAS,245
2950,Antwerp,HOUSE,6,2004,2650000,GAS,9665
2018,Antwerp,HOUSE,5,1899,649000,GAS,86
2040,Antwerp,HOUSE,3,1991,325000,ELECTRIC,613
2100,Antwerp,HOUSE,3,1910,349000,GAS,316
2340,Antwerp,HOUSE,4,1977,419000,FUELOIL,1800
2040,Antwerp,HOUSE,4,1970,369000,GAS,414
2640,Antwerp,HOUSE,4,1930,359000,GAS,349
2970,Antwerp,HOUSE,4,2016,1195000,GAS,3225
2180,Antwerp,HOUSE,3,1966,385000,GAS,292
2930,Antwerp,HOUSE,3,2024,503500,GAS,225
2328,Antwerp,HOUSE,5,1979,535000,GAS,1166
2440,Antwerp,HOUSE,5,1973,599000,GAS,1804
2250,Antwerp,HOUSE,3,2016,525000,GAS,498
2280,Antwerp,HOUSE,3,2022,351002,GAS,408
2480,Antwerp,HOUSE,4,1995,449000,FUELOIL,829
2300,Antwerp,HOUSE,4,1962,295000,GAS,119
2275,Antwerp,HOUSE,4,1913,395000,FUELOIL,669
2900,Antwerp,HOUSE,4,1952,389000,GAS,198
2880,Antwerp,HOUSE,3,2022,445500,GAS,739
2180,Antwerp,HOUSE,5,1952,695000,GAS,889
2430,Antwerp,HOUSE,3,2001,550000,FUELOIL,718
2800,Antwerp,HOUSE,4,1771,645000,GAS,89
2880,Antwerp,HOUSE,2,1957,245000,GAS,99
2220,Antwerp,HOUSE,2,1977,875000,GAS,1455
2460,Antwerp,HOUSE,5,1998,895000,GAS,2246
2930,Antwerp,HOUSE,5,1994,2475000,GAS,8444
2880,Antwerp,HOUSE,3,1977,448000,GAS,521
2660,Antwerp,HOUSE,3,1947,319000,GAS,198
2570,Antwerp,HOUSE,9,1993,750000,GAS,180
2440,Antwerp,HOUSE,3,1957,265000,FUELOIL,340
2230,Antwerp,HOUSE,3,1962,310000,FUELOIL,2500
2300,Antwerp,HOUSE,4,1970,638000,GAS,1429
2830,Antwerp,HOUSE,4,1969,545000,FUELOIL,741
2970,Antwerp,HOUSE,3,2018,475000,GAS,1300
2880,Antwerp,HOUSE,3,2022,503000,GAS,1368
2170,Antwerp,HOUSE,4,1959,345000,GAS,209
2160,Antwerp,HOUSE,3,1990,695000,GAS,548
2360,Antwerp,HOUSE,3,1974,260000,GAS,258
