Unnamed: 0,classified_id,classified_type,classified_price,classified_zip,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_outdoor_terrace_exists,customer_id
10394,9976126.0,apartment,494000,9052.0,hyperequipped,2021.0,asnew,gas,0.0,3.0,0.0,0,1915103.0
10399,9738501.0,apartment,599000,8300.0,0,2016.0,asnew,gas,73.0,1.0,0.0,True,3394328.0
10401,10000084.0,apartment,730000,8200.0,installed,0.0,good,gas,148.0,2.0,0.0,0,2367.0
10402,9940227.0,apartment,730000,8200.0,installed,0.0,good,gas,148.0,2.0,0.0,0,2367.0
10403,10091299.0,apartment,775000,1040.0,hyperequipped,0.0,good,gas,489.0,3.0,0.0,True,1110748.0
10405,10158332.0,house,249000,8792.0,semiequipped,0.0,good,gas,427.0,3.0,516.0,0,2289068.0
10408,10094199.0,house,159000,2620.0,installed,1972.0,good,gas,338.0,3.0,69.0,0,1274842.0
10411,10158302.0,apartment,230000,2018.0,installed,2018.0,asnew,gas,77.0,1.0,0.0,True,2246999.0
10412,10101785.0,apartment,775000,1150.0,hyperequipped,0.0,good,gas,489.0,3.0,0.0,True,3467306.0
10413,10079968.0,apartment,775000,1150.0,hyperequipped,0.0,good,gas,489.0,3.0,0.0,True,1110748.0
10414,10083516.0,apartment,795000,1380.0,0,2014.0,asnew,gas,84.0,3.0,0.0,True,2235918.0
10416,10046335.0,apartment,795000,8300.0,hyperequipped,1987.0,asnew,gas,163.0,3.0,0.0,0,725450.0
10429,10036104.0,apartment,115000,6230.0,installed,1965.0,good,gas,255.0,1.0,0.0,0,3649725.0
10430,10052185.0,apartment,160000,1430.0,usahyperequipped,0.0,good,electric,580.0,2.0,0.0,0,3649725.0
10431,10007712.0,apartment,240000,1420.0,semiequipped,1930.0,good,gas,373.0,2.0,0.0,0,1628452.0
10432,10099046.0,apartment,275000,1300.0,usahyperequipped,1998.0,good,gas,123.0,2.0,0.0,True,1580191.0
10433,10034982.0,apartment,330000,1180.0,hyperequipped,2008.0,good,gas,206.0,2.0,0.0,True,2142301.0
10440,10152973.0,apartment,285000,8000.0,0,2002.0,asnew,gas,260.0,2.0,0.0,True,79080.0
10443,10158332.0,house,249000,8792.0,semiequipped,0.0,good,gas,427.0,3.0,516.0,0,2289068.0
10446,10094199.0,house,159000,2620.0,installed,1972.0,good,gas,338.0,3.0,69.0,0,1274842.0
10449,10158302.0,apartment,230000,2018.0,installed,2018.0,asnew,gas,77.0,1.0,0.0,True,2246999.0
10454,10112663.0,apartment,249000,2000.0,0,0.0,asnew,gas,129.0,1.0,0.0,True,3512823.0
10462,9969437.0,apartment,287650,3271.0,0,2022.0,asnew,gas,0.0,2.0,0.0,True,2457099.0
10466,9969436.0,apartment,318000,3271.0,0,2022.0,asnew,gas,0.0,2.0,0.0,True,2457099.0
10467,9969438.0,apartment,318150,3271.0,0,2022.0,asnew,gas,0.0,3.0,0.0,True,2457099.0
10472,9967011.0,apartment,353650,3271.0,0,2022.0,asnew,gas,0.0,2.0,0.0,True,2457099.0
10481,10158332.0,house,249000,8792.0,semiequipped,0.0,good,gas,427.0,3.0,516.0,0,2289068.0
10484,10094199.0,house,159000,2620.0,installed,1972.0,good,gas,338.0,3.0,69.0,0,1274842.0
10487,10158302.0,apartment,230000,2018.0,installed,2018.0,asnew,gas,77.0,1.0,0.0,True,2246999.0
10509,10007873.0,apartment,647500,1050.0,usahyperequipped,2021.0,asnew,gas,45.0,2.0,0.0,True,2595964.0
10512,10142777.0,apartment,210000,8900.0,usainstalled,0.0,asnew,gas,341.0,2.0,0.0,0,2294235.0
10513,10143798.0,apartment,295000,1050.0,0,1937.0,good,gas,241.0,2.0,0.0,True,130929.0
10515,10130365.0,apartment,198000,1080.0,installed,0.0,good,gas,387.0,1.0,0.0,True,76092.0
10519,10158332.0,house,249000,8792.0,semiequipped,0.0,good,gas,427.0,3.0,516.0,0,2289068.0
10522,10094199.0,house,159000,2620.0,installed,1972.0,good,gas,338.0,3.0,69.0,0,1274842.0
10525,10158302.0,apartment,230000,2018.0,installed,2018.0,asnew,gas,77.0,1.0,0.0,True,2246999.0
